Price,Make,Model,Reg-Year,Configuration,Mileage(Miles),EngSize(Litres),Power(BHP),Control,Fuel-Type,Owners
"2,495",Mazda2,ns,2008,Hatchback,"87,000",1.3,74,Manual,Petrol,2
"2,490",Vauxhall,Corsa,2008,Hatchback,"65,000",1.4,89,Manual,Petrol,5
"3,295",BMW,3,2007,Saloon,"80,000",2,150,Manual,Petrol,2
"1,800",Toyota,Auris,2008,Hatchback,"124,196",1.6,124,Manual,Petrol,4
"1,595",Peugeot,107,2006,Hatchback,"96,000",1,67,Manual,Petrol,ns
995,Peugeot,206,2006,Hatchback,"38,000",1.4,75,Manual,Petrol,5
"2,000",Vauxhall,Astra,2006,Hatchback,"40,000",1.4,89,Manual,Petrol,2
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"1,750",Renault,Megane,2009,Coupe,"125,000",1.6,110,Manual,Petrol,2
"1,990",Nissan,Qashqai,2009,Hatchback,"142,725",1.6,113,Manual,Petrol,2
"2,750",Volkswagen,CC,2008,Saloon,"130,000",1.8,158,Manual,Petrol,8
888,Ford,Focus,2005,Hatchback,"105,000",1.6,99,Manual,Petrol,5
"1,095",Fiat,Panda,2008,Hatchback,"94,018",1.2,60,Manual,Petrol,4
"1,195",Ford,Fiesta,2006,Hatchback,"96,000",1.25,74,Manual,Petrol,3
"2,700",Vauxhall,Astra,2010,Hatchback,"95,951",1.6,115,Manual,Petrol,3
"1,995",Citroen,C1,2007,Hatchback,"56,800",1,67,Manual,Petrol,1
"1,899",MINI,Hatch,2008,Hatchback,"95,000",1.4,95,Manual,Petrol,4
"1,100",Peugeot,807,2007,MPV,"143,555",2,143,Automatic,Petrol,9
"1,550",Vauxhall,Corsa,2007,Hatchback,"65,371",1.2,79,Manual,Petrol,4
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"3,750",Vauxhall,Astra,2012,Hatchback,"90,000",1.4,100,Manual,Petrol,2
"2,500",Renault,Megane,2010,Hatchback,"82,000",1.6,100,Manual,Petrol,2
395,Hyundai,i10,2010,Hatchback,"105,000",1.2,76,Manual,Petrol,14
"2,500",Honda,Civic,2007,Hatchback,"95,981",1.8,138,Manual,Petrol,10
"1,675",MINI,Hatch,2008,Hatchback,"133,685",1.6,120,Manual,Petrol,4
"2,295",Fiat,Punto,2011,Hatchback,"82,400",1.2,70,Manual,Petrol,4
"1,195",SEAT,Ibiza,2009,Hatchback,"189,865",1.4,84,Manual,Petrol,4
"1,499",Renault,Clio,2008,Hatchback,"90,000",1.2,100,Manual,Petrol,5
"2,500",Mitsubishi,Colt,2012,Hatchback,"24,000",1.1,74,Manual,Petrol,2
"2,199",Ford,C-Max,2008,MPV,"113,000",2,143,Automatic,Petrol,3
"1,550",Vauxhall,Corsa,2007,Hatchback,"65,371",1.2,79,Manual,Petrol,4
"12,300",Vauxhall,Insignia,2018,Hatchback,"62,521",1.6,134,Manual,Diesel,2
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"3,495",Audi,A4,2008,Saloon,"128,700",1.8,158,Automatic,Petrol,8
"6,200",Audi,TT,2010,Coupe,"82,000",2,197,Manual,Petrol,1
"1,500",Audi,A3,2004,Hatchback,"95,000",1.6,100,Manual,Petrol,6
"2,695",Vauxhall,Corsa,2011,Hatchback,"83,300",1.4,99,Manual,Petrol,5
"4,865",Volkswagen,Golf,2010,Hatchback,"112,056",1.4,123,Manual,Petrol,5
"1,189",Suzuki,Swift,2007,Hatchback,"78,077",1.5,101,Manual,Petrol,4
"1,350",Peugeot,207,2006,Hatchback,"80,000",1.4,90,Manual,Petrol,3
"1,495",Jaguar,X-Type,2004,Saloon,"96,000",2.5,194,Automatic,Petrol,2
"2,495",Vauxhall,Corsa,2011,Hatchback,"90,000",1,64,Manual,Petrol,1
"2,500",Vauxhall,Astra,2011,Hatchback,"80,000",1.6,115,Manual,Petrol,ns
"2,000",Vauxhall,Astra,2006,Hatchback,"40,000",1.4,89,Manual,Petrol,2
"7,495",Citroen,C1,2016,Hatchback,"29,401",1.2,82,Manual,Petrol,2
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"2,809",Vauxhall,Corsa,2012,Hatchback,"68,284",1.2,84,Manual,Petrol,3
695,Vauxhall,Astra,2005,Hatchback,"90,000",1.6,103,Manual,Petrol,4
695,Vauxhall,Astra,2006,Hatchback,"115,000",1.6,103,Manual,Petrol,2
"1,995",Vauxhall,Corsa,2008,Hatchback,"89,000",1.2,79,Manual,Petrol,12
"2,375",Vauxhall,Corsa,2009,Hatchback,"74,000",1.2,79,Manual,Petrol,3
"1,895",Vauxhall,Corsa,2009,Hatchback,"98,000",1.2,79,Manual,Petrol,4
"1,200",Citroen,C2,2006,Hatchback,"82,500",1.1,59,Manual,Petrol,ns
"2,499",Vauxhall,Corsa,2009,Hatchback,"52,000",1.2,79,Manual,Petrol,3
499,Peugeot,308,2009,Hatchback,"89,000",1.6,120,Manual,Petrol,5
"1,600",Peugeot,207,2009,Hatchback,"71,297",1.4,95,Manual,Petrol,5
"1,791",Vauxhall,Corsa,2007,Hatchback,"74,000",1.4,89,Manual,Petrol,3
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"2,495",Toyota,Corolla,2006,Hatchback,"25,000",1.4,95,Manual,Petrol,4
995,Mitsubishi,Colt,2008,Convertible,"84,000",1.5,107,Manual,Petrol,1
"5,990",MINI,Hatch,2011,Hatchback,"64,000",1.6,122,Manual,Petrol,1
"1,395",Fiat,Stilo,2005,Hatchback,"115,437",1.8,133,Manual,Petrol,3
"1,000",Toyota,Yaris,2004,Hatchback,"66,000",1,67,Manual,Petrol,3
"3,199",Toyota,Auris,2009,Hatchback,"84,000",1.6,124,Manual,Petrol,2
"1,999",Volkswagen,Golf,2004,Hatchback,"75,000",1.6,113,Manual,Petrol,3
"2,500",Renault,Clio,2013,Hatchback,"125,000",1.2,75,Manual,Petrol,3
"1,984",Vauxhall,Astra,2010,Hatchback,"97,000",1.6,115,Manual,Petrol,3
"1,695",Mazda6,ns,2008,Hatchback,"99,000",2,145,Manual,Petrol,ns
"1,550",Vauxhall,Corsa,2007,Hatchback,"65,371",1.2,79,Manual,Petrol,4
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"17,250",Hyundai,Bayon,2021,SUV,"4,630",1,100,Manual,Petrol Hybrid,1
"1,795",Hyundai,i20,2011,Hatchback,"115,000",1.4,98,Manual,Petrol,3
450,Ford,Fiesta,2007,Hatchback,"88,000",1.25,74,Manual,Petrol,7
"2,295",Volkswagen,Polo,2008,Hatchback,"80,978",1.2,60,Manual,Petrol,3
800,MINI,Hatch,2006,Hatchback,"124,000",1.6,116,Manual,Petrol,7
"1,595",Chevrolet,Cruze,2010,Saloon,"100,000",1.6,122,Manual,Petrol,6
"1,999",Peugeot,308,2008,Hatchback,"91,000",1.6,120,Manual,Petrol,6
750,Nissan,Micra,2005,Hatchback,"88,182",1.2,79,Manual,Petrol,4
"1,284",Ford,Fiesta,2003,Hatchback,"70,000",1.3,67,Manual,Petrol,3
"2,250",Vauxhall,Corsa,2007,Hatchback,"68,000",1,59,Manual,Petrol,3
"2,350",Volkswagen,Polo,2007,Hatchback,"86,079",1.6,104,Manual,Petrol,2
"1,995",Renault,Twingo,2008,Hatchback,"100,000",1.2,100,Manual,Petrol,2
"17,250",Hyundai,Bayon,2021,SUV,"4,630",1,100,Manual,Petrol Hybrid,1
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"1,350",Mazda2, ns,2010,Hatchback,"112,000",1.3,74,Manual,Petrol,5
"1,295",Vauxhall,Corsa,2001,Hatchback,"36,000",1.2,74,Manual,Petrol,1
"3,500",Fiat,Punto,2010,Hatchback,"70,100",1.4,137,Manual,Petrol,ns
"1,999",Dacia,Sandero,2014,Hatchback,"82,000",0.9,90,Manual,Petrol,4
"4,620",Volkswagen,Polo,2011,Hatchback,"103,950",1.4,85,Manual,Petrol,3
"1,495",Nissan,Note,2009,Hatchback,"79,594",1.4,87,Manual,Petrol,5
"1,997",Citroen,C3,2010,Hatchback,"90,000",1.4,94,Manual,Petrol,ns
"8,299",Mercedes-Benz,A,2014,Hatchback,"115,000",1.6,122,Manual,Petrol,ns
995,Toyota,Yaris,2004,Hatchback,"133,000",1,67,Manual,Petrol,3
"1,999",Volkswagen,Polo,2005,Hatchback,"50,000",1.2,55,Manual,Petrol,2
"1,995",Renault,Twingo,2008,Hatchback,"100,000",1.2,100,Manual,Petrol,2
"15,814",Mercedes-Benz,Cla,2016,Saloon,"94,400",2.1,134,Manual,Diesel,3
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"2,490",Vauxhall,Astra,2012,Hatchback,"110,060",1.4,100,Manual,Petrol,2
"2,499",Renault,Megane,2010,Coupe,"81,211",1.6,110,Manual,Petrol,1
"3,590",Vauxhall,Astra,2011,Hatchback,"80,000",1.4,100,Manual,Petrol,3
"1,999",Volkswagen,Golf,2006,Hatchback,"110,700",1.6,113,Automatic,Petrol,ns
850,Volkswagen,Polo,2007,Hatchback,"137,188",1.2,60,Manual,Petrol,5
"2,990",Renault,Wind,2011,Convertible,"90,000",1.2,100,Manual,Petrol,5
"2,499",Vauxhall,Insignia,2010,Hatchback,"103,121",1.8,138,Manual,Petrol,3
"2,500",Vauxhall,Corsa,2007,Hatchback,"43,000",1.2,79,Manual,Petrol,2
"1,250",MINI,Hatch,2007,Hatchback,"129,650",1.6,120,Manual,Petrol,3
"4,999",BMW,1,2012,Hatchback,"83,495",1.6,136,Manual,Petrol,3
"3,999",Fiat,500C,2012,Convertible,"74,000",1.2,69,Manual,Petrol,4
"7,495",Citroen,C1,2016,Hatchback,"29,401",1.2,82,Manual,Petrol,2
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"1,995",Nissan,Note,2011,Hatchback,"102,700",1.4,87,Manual,Petrol,3
"1,490",Fiat,Grande,2006,Hatchback,"90,000",1.2,65,Manual,Petrol,4
"3,995",Vauxhall,Corsa,2012,Hatchback,"90,951",1.2,84,Manual,Petrol,4
999,Alfa,Romeo,2007,Saloon,"109,000",2.2,185,Manual,Petrol,3
"14,299",Ford,Ecosport,2018,SUV,"29,576",1,125,Manual,Petrol,1
800,Mazda3,ns,2008,Hatchback,"145,473",1.6,103,Manual,Petrol,5
"1,995",Ford,Fiesta,2008,Hatchback,"72,000",1.25,74,Manual,Petrol,2
"2,995",Vauxhall,Corsa,2009,Hatchback,"57,000",1.4,89,Manual,Petrol,4
"1,997",Vauxhall,Agila,2009,MPV,"66,000",1.2,79,Manual,Petrol,2
"1,995",Peugeot,207,2008,Hatchback,"78,000",1.4,95,Manual,Petrol,2
"1,550",Vauxhall,Corsa,2007,Hatchback,"65,371",1.2,79,Manual,Petrol,4
"12,500",Renault,Kadjar,2017,SUV,"45,098",1.5,110,Automatic,Diesel,2
"12,500",Renault,Kadjar,2017,SUV,"45,098",1.5,110,Automatic,Diesel,2
"1,990",Peugeot,207,2010,Hatchback,"108,000",1.4,75,Manual,Petrol,4
"2,999",Citroen,DS3,2011,Hatchback,"63,132",1.6,118,Manual,Petrol,2
"2,650",SEAT,Ibiza,2008,Hatchback,"83,000",1.2,69,Manual,Petrol,ns
"2,595",Mazda5,ns,2008,MPV,"90,000",2,144,Manual,Petrol,ns
"1,490",Honda,Civic,2009,Hatchback,"124,000",1.8,138,Manual,Petrol,2
"4,490",Vauxhall,Insignia,2014,Hatchback,"84,500",1.8,138,Manual,Petrol,2
"6,295",Vauxhall,Astra,2011,Hatchback,"56,500",1.6,115,Automatic,Petrol,2
"1,795",Peugeot,107,2008,Hatchback,"85,000",1,67,Manual,Petrol,2
"1,495",Peugeot,207,2006,Hatchback,"89,349",1.4,90,Manual,Petrol,5
"1,325",SKODA,Fabia,2002,Hatchback,"79,000",1.4,75,Automatic,Petrol,3
"1,094",Ford,Focus,2007,Hatchback,"169,000",1.8,123,Manual,Petrol,5
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"12,300",Vauxhall,Insignia,2018,Hatchback,"62,521",1.6,134,Manual,Diesel,2
"2,795",Ford,C-Max,2008,MPV,"85,751",1.8,123,Manual,Petrol,3
"2,999",Renault,Clio,2010,Hatchback,"61,000",1.1,75,Manual,Petrol,ns
"3,499",Renault,Clio,2011,Hatchback,"60,000",1.2,75,Manual,Petrol,ns
"1,450",Ford,Fiesta,2008,Hatchback,"116,000",1.25,74,Manual,Petrol,4
"1,499",BMW,3,2009,Saloon,"63,514",2,170,Manual,Petrol,5
"6,790",Nissan,Juke,2014,SUV,"88,000",1.2,115,Manual,Petrol,3
"1,750",Ford,Focus,2009,Hatchback,"104,000",1.6,99,Manual,Petrol,3
"1,650",Vauxhall,Astra,2009,Hatchback,"91,000",1.6,113,Manual,Petrol,ns
"2,000",Suzuki,Swift,2009,Hatchback,"108,000",1.5,101,Manual,Petrol,2
"1,795",Volkswagen,Polo,2006,Hatchback,"104,000",1.2,65,Manual,Petrol,3
"1,094",Ford,Focus,2007,Hatchback,"169,000",1.8,123,Manual,Petrol,5
"10,474",Peugeot,2008,2017,SUV,"74,804",1.6,99,Manual,Diesel,1
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"3,290",Mazda2,ns,2010,Hatchback,"65,000",1.5,102,Manual,Petrol,2
"1,295",Toyota,Avensis,2000,Hatchback,"60,000",1.8,127,Manual,Petrol,1
"1,395",Nissan,Micra,2008,Hatchback,"107,000",1.2,79,Manual,Petrol,7
"5,790",Citroen,DS3,2015,Hatchback,"77,000",1.2,110,Manual,Petrol,2
"2,500",BMW,1,2008,Hatchback,"98,000",1.6,122,Manual,Petrol,7
"1,095",Peugeot,307,2006,Hatchback,"135,998",1.6,110,Manual,Petrol,2
"1,200",Toyota,Yaris,2005,Hatchback,"93,000",1,67,Manual,Petrol,ns
"1,990",Ford,Fiesta,2009,Hatchback,"99,600",1.25,81,Manual,Petrol,3
"2,290",Peugeot,207,2008,Hatchback,"54,100",1.4,90,Manual,Petrol,1
"2,950",Vauxhall,Corsa,2012,Hatchback,"92,601",1.2,84,Manual,Petrol,4
"1,791",Vauxhall,Corsa,2007,Hatchback,"74,000",1.4,89,Manual,Petrol,3
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"7,495",Citroen,C1,2016,Hatchback,"29,401",1.2,82,Manual,Petrol,2
"1,999",SKODA,Fabia,2009,Hatchback,"149,000",1.6,105,Automatic,Petrol,1
995,Mazda,RX-8,2006,Coupe,"91,133",1.3,190,Manual,Petrol,8
"2,200",Renault,Clio,2011,Hatchback,"89,787",1.2,75,Manual,Petrol,1
"1,750",Fiat,Bravo,2008,Hatchback,"86,500",1.4,90,Manual,Petrol,6
"3,495",Vauxhall,Adam,2017,Hatchback,"92,250",1.4,100,Manual,Petrol,1
"1,250",Vauxhall,Astra,2007,Hatchback,"128,000",1.8,138,Automatic,Petrol,8
"6,395",Ssangyong,Tivoli,2016,SUV,"100,000",1.6,115,Automatic,Diesel,3
"1,295",MINI,Hatch,2004,Hatchback,"152,000",1.6,163,Manual,Petrol,14
"2,795",Ford,Fiesta,2009,Hatchback,"108,613",1.4,94,Manual,Petrol,1
"1,095",Audi,A4,2005,Convertible,"101,000",1.8,163,Manual,Petrol,5
"2,490",Vauxhall,Corsa,2008,Hatchback,"65,000",1.4,89,Manual,Petrol,5
"7,495",Citroen,C1,2016,Hatchback,"29,401",1.2,82,Manual,Petrol,2
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"2,395",Suzuki,Grand,2006,SUV,"115,014",2,138,Automatic,Petrol,3
"1,200",Vauxhall,Corsa,2007,Hatchback,"135,000",1.2,79,Manual,Petrol,2
"2,995",Vauxhall,Vectra,2002,Hatchback,"90,700",3.2,207,Manual,Petrol,3
"1,590",Citroen,C2,2008,Hatchback,"73,000",1.1,59,Manual,Petrol,ns
"2,450",Vauxhall,Astra,2010,Hatchback,"113,000",1.6,115,Manual,Petrol,4
"1,375",Ford,Fiesta,2002,Hatchback,"75,000",1.4,79,Manual,Petrol,2
"15,000",Vauxhall,Mokka,2018,SUV,"26,056",1.4,140,Automatic,Petrol,ns
"1,900",Vauxhall,Corsa,2004,Hatchback,"53,400",1.2,74,Manual,Petrol,ns
"2,249",Peugeot,207,2011,Hatchback,"93,634",1.4,95,Manual,Petrol,3
"1,875",KIA,Carens,2008,MPV,"140,000",2,142,Manual,Petrol,1
"1,791",Vauxhall,Corsa,2007,Hatchback,"74,000",1.4,89,Manual,Petrol,3
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"1,265",Mazda6,ns,2005,Hatchback,"79,347",2,139,Manual,Petrol,5
"1,489",Vauxhall,Corsa,2007,Hatchback,"103,000",1.2,79,Manual,Petrol,6
"1,700",Vauxhall,Corsa,2005,Hatchback,"99,000",1.2,79,Manual,Petrol,ns
"1,480",BMW,1,2008,Hatchback,"123,950",1.6,122,Manual,Petrol,4
"2,390",MINI,Hatch,2007,Hatchback,"92,000",1.4,95,Manual,Petrol,8
"2,499",Renault,Megane,2010,Hatchback,"88,000",1.6,110,Manual,Petrol,2
"1,300",Audi,A6,2007,Saloon,"117,000",2,168,Automatic,Petrol,5
700,Vauxhall,Zafira,2007,MPV,"108,271",1.8,138,Manual,Petrol,6
"2,895",Honda,Jazz,2010,Hatchback,"117,000",1.4,98,Manual,Petrol,5
"2,995",Vauxhall,Corsa,2010,Hatchback,"82,000",1.4,99,Manual,Petrol,6
